year_sine,day_sine,moon_phase,estimated_central_pressure,max_sustained_surface_wind,pressure_drop,ir_x_1,ir_y_1,ir_x_2,ir_y_2,ir_x_3,ir_y_3,ir_x_4,ir_y_4,ir_x_5,ir_y_5,ir_x_6,ir_y_6,ir_x_7,ir_y_7,ir_x_8,ir_y_8,wv_x_1,wv_y_1,wv_x_2,wv_y_2,wv_x_3,wv_y_3,wv_x_4,wv_y_4,wv_x_5,wv_y_5,wv_x_6,wv_y_6,wv_x_7,wv_y_7,wv_x_8,wv_y_8,dx,dy
0.6287628145958344,-0.7071067811865475,0.0283578530394653,986.0,35.0,8.0,-6.412887,2.1710227,1.9994451,0.5772493,3.1130037,1.3138155,1.414216,-0.808798,4.173036,-1.3147494,5.223378,7.0268536,3.4175847,14.401948,1.9848976,17.971722,-7.2687974,1.218446,3.834423,0.015379112,8.363033,3.0716467,7.0274024,-0.014217848,6.5555606,4.2215548,2.896227,10.305275,0.37021384,16.063835,-0.91084546,14.873653,0.5,0.0
-0.8311706263658079,-0.7071067811865477,-0.0767439908462564,990.0,55.0,16.0,-0.15127678,-14.7272005,-1.0536058,-11.000287,-3.663225,-7.8462977,1.8876529,-5.5800543,2.508116,-2.835135,2.3945847,0.93317217,2.6346762,6.704291,1.1271833,14.205961,1.2772554,-14.732359,0.3265056,-11.422584,-1.1241335,-6.9613533,3.7138805,-1.1693789,2.1059208,4.138818,1.7126849,6.1219993,0.971191,13.598043,-0.19846813,27.637432,0.0,-0.5
-0.7354170229639858,-0.7071067811865475,0.7809266915914271,964.0,90.0,40.0,8.428145,8.199467,-1.4276423,-5.095313,1.3408141,-12.8398075,3.1545236,-25.190664,4.7520347,-30.674847,13.361679,-14.414797,13.906956,-14.647861,7.3689237,-12.460876,2.7726147,5.457935,-0.99328196,4.7028756,0.24563955,2.2808397,0.06466546,-2.1173465,-5.3808026,-4.1678805,-0.890138,6.1322865,0.6975561,15.436052,2.0500612,20.956621,0.0,0.0
-0.3049212246562894,-1.0,-0.3411936063565986,1005.0,25.0,3.0,2.657906,-4.333686,4.760447,-4.782415,2.1370661,6.6117306,-3.0367403,8.640696,-2.2142432,8.411164,2.6350157,5.758177,3.5409539,6.003611,0.2622611,4.6397667,-4.8806467,4.553717,-2.4257188,9.352623,-0.9784244,11.5133295,-4.922613,14.523163,-3.8170364,11.27713,-1.4153087,10.2784395,-1.9109327,11.182929,-0.713803,10.149182,0.0,0.0
-0.9844738167520924,-1.0,-0.8193158579741702,987.0,40.0,14.0,2.5037425,-6.7226825,-1.5614763,-15.85342,5.899134,-7.376613,1.7037004,-3.4338152,1.0495698,-6.002381,7.2994657,-11.64685,4.7359147,-7.1585608,2.910252,3.04106,7.733329,-12.224756,3.8430247,-17.307598,1.2460359,-9.201966,0.9740505,-6.157619,1.9090463,-2.5339992,3.9542785,2.1074252,4.369004,5.7207527,4.090289,9.670117,0.3999999999999986,-0.20000000000000284
0.672949024155833,-0.7071067811865477,0.1938373490216993,983.0,45.0,11.0,-4.3769026,-2.368383,-3.0596669,1.5750698,0.0582578,-1.0072386,3.7887366,-2.8746357,5.7727613,0.57492703,4.063575,8.747602,0.46119738,10.970909,0.49414805,8.981672,-0.51982784,0.74591863,-1.8472158,-0.8241589,1.2125955,-5.6727366,7.348366,-3.480736,4.8029027,4.8232217,2.965293,11.894282,0.8515984,15.627681,-1.0807685,11.30529,0.3000000000000007,0.7000000000000028
-0.4250003399695539,-1.0,0.585024250721455,992.0,25.0,4.0,1.1465408,-24.102999,-1.8508704,-22.833536,-4.1601543,-12.676827,-1.7706616,-8.284925,1.4292295,-8.068342,3.9132187,-5.41853,3.639067,-0.13414948,10.540224,6.839011,1.3472594,-33.383797,-2.6441088,-23.62054,-4.3350573,-12.687475,1.1798778,-7.7115364,2.5138307,-0.276066,2.9447117,-0.89359653,3.5429626,-0.17290118,5.443715,4.537543,-0.1999999999999993,0.3999999999999915
-0.8840675099433637,1.0,0.7348520447406169,1002.0,25.0,3.0,-6.58042,-3.4817882,-23.85853,-2.413799,-16.034496,6.3268414,-5.785187,5.104926,-6.369892,3.1794486,-8.021797,-2.6192863,-6.12135,-5.1548767,-2.7806215,-4.9213414,-2.1636193,10.416422,1.1274714,24.58521,-0.242214,27.109663,-1.0905137,18.443802,-2.1192663,10.767419,-4.56734,1.8596876,-4.1384134,-4.2008944,-2.3043952,-9.256415,0.0,0.0
-0.9813064702716092,-1.0,0.9164942113165307,996.0,30.0,6.0,0.92797035,0.733876,-2.2738695,1.1257732,1.5850779,-2.8016891,2.1195006,-0.25840673,-1.8849444,-5.4741473,0.46222013,-15.445998,-0.8739793,-1.4433837,-2.6560268,1.3133823,0.10087878,-10.607578,0.4515389,-6.505303,0.0728028,-4.7178755,-1.4720219,-0.725941,-2.6829104,-3.459018,-3.0695586,0.59741205,1.6108849,5.9474936,1.0329162,2.7422934,0.5,-0.29999999999999716
-0.8744809578310401,-1.0,-0.3575390187276948,998.0,30.0,5.0,-17.931425,-2.7710996,-12.191578,0.45125738,2.6249506,-4.6121187,5.818146,3.4281223,8.157668,10.439614,8.513301,7.6625276,4.3263164,-1.5442628,1.4578255,-2.5455513,-14.668369,-4.573437,-9.507363,3.5613983,-2.1669083,7.380518,1.4916366,9.504407,2.2491539,9.541536,2.880223,3.740972,3.5691748,-1.6916358,0.053019546,-0.060983274,0.0,-1.0
0.7748840413670407,-3.216245299353273e-16,0.4580465506916401,994.0,40.0,8.0,-5.7701735,-0.17251553,-4.237673,2.4856036,0.5256652,5.342578,2.018474,3.0848598,0.9493581,5.3183265,1.0691013,3.7814357,0.18198416,7.590709,1.2697713,15.337375,-2.0879424,-6.072403,-1.4205811,-0.13512504,1.6947249,2.6511703,2.3806443,0.34876767,1.5083358,0.84519345,4.299876,4.196131,3.7603314,11.337273,3.2463336,22.06788,1.0,-1.5
0.4862727071086899,-3.216245299353273e-16,-0.47685777939829,988.0,55.0,16.0,0.97232115,6.540976,-3.3943245,6.6093965,-1.3036854,6.3068895,0.72535443,4.6222186,0.70170134,-0.12216583,-0.6078084,-0.19025585,1.298403,0.6387532,4.434185,-1.4875728,-5.3424373,19.742828,-3.2005215,15.502438,-2.5606706,14.789527,0.48218498,5.471732,-0.22572793,1.1141448,-1.852233,0.94117177,0.37656748,3.9342933,4.311666,0.25501877,2.5,0.0
0.8906165093267405,-3.216245299353273e-16,-0.9828686708119966,980.0,65.0,20.0,0.42479843,6.5210037,3.0278468,4.917519,4.02833,-0.34098828,4.4464035,-2.1215565,4.825202,-3.304809,3.3185267,-1.523812,4.2936,3.3018515,3.8734643,9.812222,1.3774147,9.2938595,3.0995188,6.903014,1.3525515,3.1756833,3.3679368,1.5051926,4.4342394,0.07663494,2.1994736,2.7414126,2.8053067,8.66399,2.3770347,20.729206,1.0,0.0
